CodigoNacional,momento,RRR6_Valor,Traza_Valor
330019,29-04-2019 00:00:00,0,0
330019,29-04-2019 12:00:00,0,0
330019,29-04-2019 18:00:00,0,0
330019,30-04-2019 00:00:00,0,0
330019,30-04-2019 12:00:00,0,0
330019,30-04-2019 18:00:00,0,0
330019,1/5/19 0:00,0,0
330019,1/5/19 12:00,0,0
330019,1/5/19 18:00,0,0
330019,2/5/19 0:00,0,0
330019,2/5/19 12:00,0,0
330019,2/5/19 18:00,0,0
330019,3/5/19 0:00,0,0
330019,3/5/19 12:00,0,0
330019,3/5/19 18:00,0,0
330019,4/5/19 0:00,0,0
330019,4/5/19 12:00,0,0
330019,4/5/19 18:00,0,0
330019,5/5/19 0:00,0,0
330019,5/5/19 12:00,0,0
330019,5/5/19 18:00,0,0
330019,6/5/19 0:00,0,0
330019,6/5/19 12:00,0,0
330019,6/5/19 18:00,0,0
330019,7/5/19 0:00,0,0
330019,7/5/19 12:00,0,0
330019,7/5/19 18:00,0,0
330019,8/5/19 0:00,0,0
330019,8/5/19 12:00,0,0
330019,8/5/19 18:00,0,0
330019,9/5/19 0:00,0,0
330019,9/5/19 12:00,0.2,0
330019,9/5/19 18:00,0,0
330019,10/5/19 0:00,0,0
330019,10/5/19 12:00,0,0
330019,10/5/19 18:00,0,0
330019,11/5/19 0:00,,0
330019,11/5/19 12:00,0,0
330019,11/5/19 18:00,0,0
330019,12/5/19 0:00,,0
330019,12/5/19 12:00,0,0
330019,12/5/19 18:00,0,0
330019,13-05-2019 00:00:00,0,0
330019,13-05-2019 12:00:00,0,0
330019,13-05-2019 18:00:00,0,0
330019,14-05-2019 00:00:00,0,0
330019,14-05-2019 12:00:00,0,0
330019,14-05-2019 18:00:00,0,0
330019,15-05-2019 00:00:00,0,0
330019,15-05-2019 12:00:00,0,0
330019,15-05-2019 18:00:00,0,0
330019,16-05-2019 00:00:00,0,0
330019,16-05-2019 12:00:00,0,0
330019,16-05-2019 18:00:00,0,0
330019,17-05-2019 00:00:00,0,0
330019,17-05-2019 12:00:00,0,0
330019,17-05-2019 18:00:00,0,0
330019,18-05-2019 00:00:00,0,0
330019,18-05-2019 12:00:00,0,1
330019,18-05-2019 18:00:00,0,0
330019,19-05-2019 00:00:00,0,0
330019,19-05-2019 12:00:00,0,0
330019,19-05-2019 18:00:00,0,0
330019,20-05-2019 00:00:00,0,0
330019,20-05-2019 12:00:00,0,0
330019,20-05-2019 18:00:00,0,0
330019,21-05-2019 00:00:00,0,0
330019,21-05-2019 12:00:00,0,0
330019,21-05-2019 18:00:00,0,0
330019,22-05-2019 00:00:00,0,0
330019,22-05-2019 12:00:00,0,0
330019,22-05-2019 18:00:00,0,0
330019,23-05-2019 00:00:00,0,0
330019,23-05-2019 12:00:00,0,0
330019,23-05-2019 18:00:00,0,0
330019,24-05-2019 00:00:00,0,0
330019,24-05-2019 12:00:00,0,0
330019,24-05-2019 18:00:00,0,0
330019,25-05-2019 00:00:00,0,0
330019,25-05-2019 12:00:00,0,0
330019,25-05-2019 18:00:00,0,0
330019,26-05-2019 00:00:00,,0
330019,26-05-2019 12:00:00,0,0
330019,26-05-2019 18:00:00,0,0
330019,27-05-2019 00:00:00,0,0
330019,27-05-2019 12:00:00,0,0
330019,27-05-2019 18:00:00,0,0
330019,28-05-2019 00:00:00,,0
330019,28-05-2019 12:00:00,0,0
330019,28-05-2019 18:00:00,0,0
330019,29-05-2019 00:00:00,0,0
330019,29-05-2019 12:00:00,0,1
330019,29-05-2019 18:00:00,0.2,0
330019,30-05-2019 00:00:00,,0
330019,30-05-2019 12:00:00,1.3,0
330019,30-05-2019 18:00:00,0,0
330019,31-05-2019 00:00:00,0,1
330019,31-05-2019 12:00:00,6.5,0
330019,31-05-2019 18:00:00,0.5,0
330019,1/6/19 0:00,0,0
330019,1/6/19 12:00,0,0
330019,1/6/19 18:00,0,0
330019,2/6/19 0:00,0,0
330019,2/6/19 12:00,0,0
330019,2/6/19 18:00,0,0
330019,3/6/19 0:00,0,0
330019,3/6/19 12:00,0,0
330019,3/6/19 18:00,0,0
330019,4/6/19 0:00,,0
330019,4/6/19 12:00,0,0
330019,4/6/19 18:00,0,0
330019,5/6/19 0:00,0,0
330019,5/6/19 12:00,0,0
330019,5/6/19 18:00,0,0
330019,6/6/19 0:00,0,0
330019,6/6/19 12:00,0,0
330019,6/6/19 18:00,0,0
330019,7/6/19 0:00,0,0
330019,7/6/19 12:00,0,0
330019,7/6/19 18:00,0,0
330019,8/6/19 0:00,0,0
330019,8/6/19 12:00,0,0
330019,8/6/19 18:00,0,0
330019,9/6/19 0:00,0,0
330019,9/6/19 12:00,0,0
330019,9/6/19 18:00,0,0
330019,10/6/19 0:00,0,0
330019,10/6/19 12:00,0,0
330019,10/6/19 18:00,0,0
330019,11/6/19 0:00,,0
330019,11/6/19 12:00,0,0
330019,11/6/19 18:00,0,0
330019,12/6/19 0:00,0,0
330019,12/6/19 12:00,0,0
330019,12/6/19 18:00,0,0
330019,13-06-2019 00:00:00,0,0
330019,13-06-2019 12:00:00,6.9,0
330019,13-06-2019 18:00:00,13.4,0
330019,14-06-2019 00:00:00,0,0
330019,14-06-2019 12:00:00,3,0
330019,14-06-2019 18:00:00,0,0
330019,15-06-2019 00:00:00,0,0
330019,15-06-2019 12:00:00,5.9,0
330019,15-06-2019 18:00:00,0.2,0
330019,16-06-2019 00:00:00,,0
330019,16-06-2019 12:00:00,0,0
330019,16-06-2019 18:00:00,0,0
330019,17-06-2019 00:00:00,0,0
330019,17-06-2019 12:00:00,0,0
330019,17-06-2019 18:00:00,0,0
330019,18-06-2019 00:00:00,,0
330019,18-06-2019 12:00:00,0.5,0
330019,18-06-2019 18:00:00,0,0
330019,19-06-2019 00:00:00,0,0
330019,19-06-2019 12:00:00,0,0
330019,19-06-2019 18:00:00,0,0
330019,20-06-2019 00:00:00,0,0
330019,20-06-2019 12:00:00,0,0
330019,20-06-2019 18:00:00,0,0
330019,21-06-2019 00:00:00,0,0
330019,21-06-2019 12:00:00,0,0
330019,21-06-2019 18:00:00,0,0
330019,22-06-2019 00:00:00,0,0
330019,22-06-2019 12:00:00,0,0
330019,22-06-2019 18:00:00,0,0
330019,23-06-2019 00:00:00,0,0
330019,23-06-2019 12:00:00,0,0
330019,23-06-2019 18:00:00,0,0
330019,24-06-2019 00:00:00,0,0
330019,24-06-2019 12:00:00,0,0
330019,24-06-2019 18:00:00,0,0
330019,25-06-2019 00:00:00,0,0
330019,25-06-2019 12:00:00,13,0
330019,25-06-2019 18:00:00,0,0
330019,26-06-2019 00:00:00,0,0
330019,26-06-2019 12:00:00,0,0
330019,26-06-2019 18:00:00,0,0
330019,27-06-2019 00:00:00,0,0
330019,27-06-2019 12:00:00,0,0
330019,27-06-2019 18:00:00,0,0
330019,28-06-2019 00:00:00,,0
330019,28-06-2019 12:00:00,0,0
330019,28-06-2019 18:00:00,0,0
330019,29-06-2019 00:00:00,,0
330019,29-06-2019 12:00:00,14.5,0
330019,29-06-2019 18:00:00,0.7,0
330019,30-06-2019 00:00:00,0,0
330019,30-06-2019 12:00:00,4,0
330019,30-06-2019 18:00:00,0,0
330019,1/7/19 0:00,0,0
330019,1/7/19 12:00,0,0
330019,1/7/19 18:00,0,0
330019,2/7/19 0:00,0,0
330019,2/7/19 12:00,0,0
330019,2/7/19 18:00,0,0
330019,3/7/19 0:00,0,0
330019,3/7/19 12:00,0,0
330019,3/7/19 18:00,0,0
330019,4/7/19 0:00,,0
330019,4/7/19 12:00,0,0
330019,4/7/19 18:00,0,0
330019,5/7/19 0:00,,0
330019,5/7/19 12:00,0,0
330019,5/7/19 18:00,0,0
330019,6/7/19 0:00,0,0
330019,6/7/19 12:00,0,0
330019,6/7/19 18:00,0,0
330019,7/7/19 0:00,0,0
330019,7/7/19 12:00,0,0
330019,7/7/19 18:00,0,0
330019,8/7/19 0:00,0,0
330019,8/7/19 12:00,0,0
330019,8/7/19 18:00,0,0
330019,9/7/19 0:00,0,0
330019,9/7/19 12:00,0,0
330019,9/7/19 18:00,0,0
330019,10/7/19 0:00,0,0
330019,10/7/19 12:00,0,0
330019,10/7/19 18:00,0,0
330019,11/7/19 0:00,0,0
330019,11/7/19 12:00,0,0
330019,11/7/19 18:00,0,0
330019,12/7/19 0:00,,0
330019,12/7/19 12:00,0,0
330019,12/7/19 18:00,0,0
330019,13-07-2019 00:00:00,0,0
330019,13-07-2019 12:00:00,0,0
330019,13-07-2019 18:00:00,0,0
330019,14-07-2019 00:00:00,,0
330019,14-07-2019 12:00:00,0,0
330019,14-07-2019 18:00:00,0,0
330019,15-07-2019 00:00:00,0,0
330019,15-07-2019 12:00:00,0,0
330019,15-07-2019 18:00:00,0,0
330019,16-07-2019 00:00:00,,0
330019,16-07-2019 12:00:00,0,0
330019,16-07-2019 18:00:00,0,0
330019,17-07-2019 00:00:00,0,0
330019,17-07-2019 12:00:00,0,0
330019,17-07-2019 18:00:00,0,0
330019,18-07-2019 00:00:00,0,0
330019,18-07-2019 12:00:00,0,0
330019,18-07-2019 18:00:00,0,0
330019,19-07-2019 00:00:00,0,0
330019,19-07-2019 12:00:00,0,0
330019,19-07-2019 18:00:00,0,0
330019,20-07-2019 00:00:00,0,0
330019,20-07-2019 12:00:00,0,0
330019,20-07-2019 18:00:00,0,0
330019,21-07-2019 00:00:00,,0
330019,21-07-2019 12:00:00,0,0
330019,21-07-2019 18:00:00,3.1,0
330019,22-07-2019 00:00:00,0,0
330019,22-07-2019 12:00:00,12.7,0
330019,22-07-2019 18:00:00,0,0
330019,23-07-2019 00:00:00,0,0
330019,23-07-2019 12:00:00,0,0
330019,23-07-2019 18:00:00,0,0
330019,24-07-2019 00:00:00,0,0
330019,24-07-2019 12:00:00,0,0
330019,24-07-2019 18:00:00,0,0
330019,25-07-2019 00:00:00,,0
330019,25-07-2019 12:00:00,0,0
330019,25-07-2019 18:00:00,0,0
330019,26-07-2019 00:00:00,,0
330019,26-07-2019 12:00:00,0,0
330019,26-07-2019 18:00:00,0,0
330019,27-07-2019 00:00:00,0,0
330019,27-07-2019 12:00:00,0,0
330019,27-07-2019 18:00:00,0,0
330019,28-07-2019 00:00:00,,0
330019,28-07-2019 12:00:00,0,0
330019,28-07-2019 18:00:00,0,0
330019,29-07-2019 00:00:00,0,0
330019,29-07-2019 12:00:00,0.8,0
330019,29-07-2019 18:00:00,0,0
330019,30-07-2019 00:00:00,0,0
330019,30-07-2019 12:00:00,0,0
330019,30-07-2019 18:00:00,0,0
330019,31-07-2019 00:00:00,,0
330019,31-07-2019 12:00:00,0,0
330019,31-07-2019 18:00:00,0,0
330019,1/8/19 0:00,0,0
330019,1/8/19 12:00,0,0
330019,1/8/19 18:00,0,0
330019,2/8/19 0:00,,0
330019,2/8/19 12:00,0,0
330019,2/8/19 18:00,0,0
330019,3/8/19 0:00,0,0
330019,3/8/19 12:00,0,0
330019,3/8/19 18:00,0,0
330019,4/8/19 0:00,0,0
330019,4/8/19 12:00,0,0
330019,4/8/19 18:00,0,0
330019,5/8/19 0:00,,0
330019,5/8/19 12:00,0,0
330019,5/8/19 18:00,0,0
330019,6/8/19 0:00,0,0
330019,6/8/19 12:00,0,0
330019,6/8/19 18:00,0,0
330019,7/8/19 0:00,,0
330019,7/8/19 12:00,0,0
330019,7/8/19 18:00,0,0
330019,8/8/19 0:00,0,0
330019,8/8/19 12:00,0,0
330019,8/8/19 18:00,0,0
330019,9/8/19 0:00,0,0
330019,9/8/19 12:00,0,0
330019,9/8/19 18:00,0,0
330019,10/8/19 0:00,0,0
330019,10/8/19 12:00,0,0
330019,10/8/19 18:00,0,0
330019,11/8/19 0:00,,0
330019,11/8/19 12:00,0,0
330019,11/8/19 18:00,0,0
330019,12/8/19 0:00,0,0
330019,12/8/19 12:00,0,0
330019,12/8/19 18:00,0,0
330019,13-08-2019 00:00:00,0,0
330019,13-08-2019 12:00:00,0,0
330019,13-08-2019 18:00:00,0,0
330019,14-08-2019 00:00:00,0,0
330019,14-08-2019 12:00:00,0,0
330019,14-08-2019 18:00:00,0,0
330019,15-08-2019 00:00:00,,0
330019,15-08-2019 12:00:00,0,0
330019,15-08-2019 18:00:00,0,0
330019,16-08-2019 00:00:00,0,0
330019,16-08-2019 12:00:00,0,0
330019,16-08-2019 18:00:00,0,0
